id,name,cp,ivs
1,Bulbasaur,1500,15 / 15 / 15 
2,Ivysaur,1500,0 / 13 / 14 
3,Venusaur,1500,0 / 14 / 11 
4,Charmander,1500,15 / 15 / 15 
5,Charmeleon,1500,0 / 13 / 15 
6,Charizard,1500,0 / 15 / 13 
7,Squirtle,1500,15 / 15 / 15 
8,Wartortle,1500,15 / 15 / 15 
9,Blastoise,1500,1 / 15 / 15 
10,Caterpie,1500,15 / 15 / 15 
11,Metapod,1500,15 / 15 / 15 
12,Butterfree,1500,0 / 13 / 15 
13,Weedle,1500,15 / 15 / 15 
14,Kakuna,1500,15 / 15 / 15 
15,Beedrill,1500,0 / 13 / 14 
16,Pidgey,1500,15 / 15 / 15 
17,Pidgeotto,1500,15 / 15 / 15 
18,Pidgeot,1500,0 / 14 / 14 
19,Rattata,1500,15 / 15 / 15 
20,Raticate,1500,0 / 14 / 15 
21,Spearow,1500,15 / 15 / 15 
22,Fearow,1500,0 / 15 / 14 
23,Ekans,1500,15 / 15 / 15 
24,Arbok,1500,0 / 11 / 14 
25,Pikachu,1500,15 / 15 / 15 
26,Raichu,1500,0 / 15 / 14 
27,Sandshrew,1500,15 / 15 / 15 
28,Sandslash,1500,0 / 14 / 15 
29,Nidoran F,1500,15 / 15 / 15
30,Nidorina,1500,15 / 15 / 15 
31,Nidoqueen,1500,0 / 15 / 12 
32,Nidoran M,1500,15 / 15 / 15 
33,Nidorino,1500,15 / 15 / 15 
34,Nidoking,1500,0 / 14 / 15 
35,Clefairy,1500,15 / 15 / 15 
36,Clefable,1500,0 / 13 / 15 
37,Vulpix,1500,15 / 15 / 15 
38,Ninetales,1500,0 / 15 / 15 
39,Jigglypuff,1500,15 / 15 / 15 
40,Wigglytuff,1500,0 / 15 / 12 
41,Zubat,1500,15 / 15 / 15 
42,Golbat,1500,0 / 15 / 15 
43,Oddish,1500,15 / 15 / 15 
44,Gloom,1500,0 / 12 / 14 
45,Vileplume,1500,0 / 15 / 15 
46,Paras,1500,15 / 15 / 15 
47,Parasect,1500,0 / 13 / 15 
48,Venonat,1500,15 / 15 / 15 
49,Venomoth,1500,0 / 13 / 15 
50,Diglett,1500,15 / 15 / 15 
51,Dugtrio,1500,7 / 15 / 15 
52,Meowth,1500,15 / 15 / 15 
53,Persian,1500,0 / 14 / 13 
54,Psyduck,1500,15 / 15 / 15 
55,Golduck,1500,0 / 10 / 14 
56,Mankey,1500,15 / 15 / 15 
57,Primeape,1500,1 / 15 / 15 
58,Growlithe,1500,15 / 15 / 15 
59,Arcanine,1500,0 / 14 / 15 
60,Poliwag,1500,15 / 15 / 15 
61,Poliwhirl,1500,15 / 15 / 15 
62,Poliwrath,1500,0 / 14 / 15 
63,Abra,1500,15 / 15 / 15 
64,Kadabra,1500,2 / 15 / 14 
65,Alakazam,1500,1 / 15 / 15 
66,Machop,1500,15 / 15 / 15 
67,Machoke,1500,0 / 15 / 15 
68,Machamp,1500,0 / 14 / 11 
69,Bellsprout,1500,15 / 15 / 15 
70,Weepinbell,1500,2 / 15 / 15 
71,Victreebel,1500,1 / 15 / 15 
72,Tentacool,1500,15 / 15 / 15 
73,Tentacruel,1500,1 / 15 / 15 
74,Geodude,1500,15 / 15 / 15 
75,Graveler,1500,0 / 14 / 15 
76,Golem,1500,1 / 14 / 15 
77,Ponyta,1500,0 / 15 / 14 
78,Rapidash,1500,0 / 13 / 15 
79,Slowpoke,1500,15 / 15 / 15 
80,Slowbro,1500,0 / 13 / 15 
81,Magnemite,1500,15 / 15 / 15 
82,Magneton,1500,0 / 15 / 15 
83,Farfetch'd,1500,15 / 15 / 15 
84,Doduo,1500,15 / 15 / 15 
85,Dodrio,1500,0 / 12 / 15 
86,Seel,1500,15 / 15 / 15 
87,Dewgong,1500,0 / 12 / 15 
88,Grimer,1500,15 / 15 / 15 
89,Muk,1500,0 / 15 / 15 
90,Shellder,1500,15 / 15 / 15 
91,Cloyster,1500,0 / 13 / 13 
92,Gastly,1500,15 / 15 / 15 
93,Haunter,1500,1 / 15 / 14 
94,Gengar,1500,0 / 13 / 13 
95,Onix,1500,15 / 15 / 15 
96,Drowzee,1500,15 / 15 / 15 
97,Hypno,1500,0 / 13 / 13 
98,Krabby,1500,7 / 15 / 15 
99,Kingler,1500,0 / 9 / 15 
100,Voltorb,1500,15 / 15 / 15 
101,Electrode,1500,1 / 15 / 15 
102,Exeggcute,1500,15 / 15 / 15 
103,Exeggutor,1500,1 / 15 / 14 
104,Cubone,1500,15 / 15 / 15 
105,Marowak,1500,0 / 14 / 14 
106,Hitmonlee,1500,2 / 15 / 15 
107,Hitmonchan,1500,0 / 11 / 15 
108,Lickitung,1500,15 / 15 / 15 
109,Koffing,1500,15 / 15 / 15 
110,Weezing,1500,0 / 14 / 14 
111,Rhyhorn,1500,1 / 15 / 14 
112,Rhydon,1500,2 / 15 / 14 
113,Chansey,1500,15 / 15 / 15 
